Name,Type,Ratings,Reviews,Menu_Price,Rooms,Pax_Min,Pax_Max,Destination,Amenities_+more
raghuber marriage hall,"banquet halls, marriage garden / lawns",5.0,0,700.0,21,150,600,lucknow,2
jk grand resorts,"banquet halls, marriage garden / lawns",5.0,0,550.0,21,360,1500,lucknow,2
ap palace marriage hall,"banquet halls, convention / function halls",5.0,7,550.0,21,150,500,lucknow,2
jb skyhilton inn,"banquet halls, 3 star hotels with banquets",5.0,0,800.0,50,50,150,lucknow,3
kalyan mandap marriage hall,marriage garden / lawns,5.0,0,600.0,21,380,600,lucknow,2
hotel virasat saheed path,"banquet halls, marriage garden / lawns",5.0,0,1000.0,14,60,150,lucknow,4
atithi inn,"banquet halls, 3 star hotels with banquets",5.0,0,800.0,27,150,350,lucknow,3
shubhkaamna lawn,marriage garden / lawns,5.0,0,1000.0,4,0,0,lucknow,3
hotel shiva grand,"banquet halls, 3 star hotels with banquets",5.0,0,650.0,19,60,100,lucknow,3
essence banquets,banquet halls,5.0,0,1200.0,21,70,200,lucknow,2
sharad vatika,"banquet halls, marriage garden / lawns",5.0,4,690.0,8,300,500,lucknow,3
anmol bandhan,banquet halls,4.5,1,125000.0,21,120,150,jaipur,3
red fort heritage hotel,"banquet halls, marriage garden / lawns",5.0,1,800.0,26,300,800,jaipur,3
the rosier by rosé amer,"banquet halls, marriage garden / lawns",5.0,1,4500.0,8,250,800,jaipur,3
hotel abhishek inn,"banquet halls, marriage garden / lawns",5.0,1,30000.0,11,70,200,jaipur,4
kawa marriage garden,"marriage garden / lawns, venues with rooms",5.0,1,700.0,3,250,300,jaipur,4
hotel hawa mahal,"banquet halls, 3 star hotels with banquets",5.0,1,500.0,35,200,300,jaipur,3
hyatt place jaipur malviya nagar,"banquet halls, 3 star hotels with banquets",4.8,4,1599.0,116,300,500,jaipur,3
gulab vihar wedding garden,marriage garden / lawns,5.0,0,450.0,5,1600,2000,jaipur,3
chandbagh,"banquet halls, venues with rooms",5.0,1,1400.0,3,300,500,jaipur,3
ibis jaipur city centre,"3 star hotels with banquets, destination wedding venues",5.0,1,500.0,74,60,300,jaipur,3
nazarbagh palace,"banquet halls, marriage garden / lawns",5.0,1,1200.0,18,800,2500,jaipur,3
swarn marriage garden,"banquet halls, marriage garden / lawns",5.0,1,450.0,21,200,1500,jaipur,2
dnd bar & lounge,small function / party halls,5.0,1,500.0,21,50,100,jaipur,2
hotel jaisingh palace,"banquet halls, 3 star hotels with banquets",4.5,1,450.0,30,70,100,jaipur,3
fort chandragupt,"banquet halls, marriage garden / lawns",4.8,2,1801.0,92,100,300,jaipur,3
aloft new delhi aerocity,"4 star & above wedding hotels, banquet halls",4.8,6,3100.0,253,50,220,ncr,3
victoria banquet,"banquet halls, venues with rooms",5.0,1,900.0,4,200,250,ncr,3
the urban venue,"banquet halls, marriage garden / lawns",5.0,26,600.0,8,450,500,ncr,6
golden banquet,"banquet halls, convention / function halls",4.5,1,800.0,21,500,600,ncr,2
royal diamond party lawn ,"banquet halls, marriage garden / lawns",5.0,1,1000.0,21,300,2000,ncr,2
sanskriti greens,"banquet halls, marriage garden / lawns",5.0,2,2000.0,1,200,1500,ncr,3
itc maurya,"4 star & above wedding hotels, destination wedding venues",4.8,10,5000.0,437,40,1000,ncr,4
hotel rr galaxy gurugram,"banquet halls, marriage garden / lawns",5.0,2,1350.0,32,90,350,ncr,3
hotel pride,"banquet halls, 3 star hotels with banquets",5.0,5,1100.0,45,135,160,ncr,3
shivalik hotel & banquet,"3 star hotels with banquets, venues with rooms",4.9,13,600.0,25,45,150,ncr,4
itc grand bharat,"4 star & above wedding hotels, 3 star hotels with banquets",4.5,13,4000.0,104,30,400,ncr,3
okas grand,"banquet halls, marriage garden / lawns",5.0,1,180000.0,20,200,400,ncr,4
diamond crown banquet,"banquet halls, marriage garden / lawns",4.7,23,1600.0,60,72,1200,ncr,3
flora garden,marriage garden / lawns,5.0,1,1000.0,21,800,1000,ncr,3
radisson blu hotel greater noida,"4 star & above wedding hotels, banquet halls",4.8,10,2999.0,175,40,550,ncr,3
firebrick boutique residences - amethyst house,"banquet halls, 3 star hotels with banquets",5.0,2,799.0,18,50,70,ncr,4
mehar resorts,"banquet halls, marriage garden / lawns",5.0,1,1500.0,15,350,800,ncr,3
kaushambi banquet and conference hall,banquet halls,5.0,1,1800.0,21,280,500,ncr,2
sr royal kingdom ,"banquet halls, marriage garden / lawns",5.0,1,1200.0,5,50,1200,ncr,3
shree venkatesh mahal,"banquet halls, 3 star hotels with banquets",5.0,1,400.0,21,800,1200,chennai,3
san event hall,"banquet halls, venues with rooms",5.0,2,300.0,3,300,400,chennai,4
mohan gardens kalyana mandapam,"banquet halls, marriage garden / lawns",5.0,1,500.0,21,1250,2000,chennai,2
mango nest nature resort,marriage garden / lawns,5.0,0,55000.0,4,150,250,chennai,4
raj palace sundar,"banquet halls, 3 star hotels with banquets",5.0,1,600.0,36,25,230,chennai,3
gopinath gardens,banquet halls,4.5,2,700000.0,21,180,6000,chennai,3
glm meridian,"banquet halls, 3 star hotels with banquets",5.0,2,400.0,40,40,100,chennai,3
villa nirvana,"marriage garden / lawns, 3 star hotels with banquets",5.0,1,500.0,10,120,150,chennai,3
off the record,"party restaurants / lounge bars, small function / party halls",5.0,0,80.0,21,45,70,chennai,2
dg hall,"banquet halls, small function / party halls",5.0,1,300.0,21,100,250,chennai,2
the elite grand,"4 star & above wedding hotels, banquet halls",5.0,1,950.0,178,500,1000,chennai,3
irish suites,"banquet halls, 3 star hotels with banquets",5.0,0,650.0,30,100,150,chennai,3
sri rama kalyana mandapam,"banquet halls, kalyana mandapams",4.5,2,200.0,21,600,800,chennai,3
"ramee grand hotel and spa, pune",banquet halls,4.5,4,800.0,88,800,900,pune,3
tim luck luck,banquet halls,5.0,1,400.0,21,120,200,pune,2
courtyard marriott pune chakan,"banquet halls, marriage garden / lawns",5.0,3,1444.0,175,300,500,pune,3
"10th mile, manjri","banquet halls, marriage garden / lawns",5.0,2,750.0,1,100,500,pune,3
daulat lawns,"banquet halls, marriage garden / lawns",5.0,1,400.0,21,600,3000,pune,2
eastin easy aishwarya talegaon,"banquet halls, marriage garden / lawns",5.0,4,750.0,90,250,600,pune,3
raga lawns,"marriage garden / lawns, wedding farmhouses",4.5,8,280000.0,2,550,550,pune,4
swaraj palace,marriage garden / lawns,5.0,2,200.0,21,2300,4500,pune,2
mahasainik lawn,"marriage garden / lawns, wedding farmhouses",4.7,3,550.0,2,200,800,pune,4
cloud 99,banquet halls,5.0,0,529.0,2,300,450,pune,3
iris lawns & banquets by ruturang,"banquet halls, marriage garden / lawns",4.7,3,350.0,2,400,900,pune,4
sanctuary banquets,"banquet halls, venues with rooms",5.0,1,750.0,2,350,500,pune,3
le parc thergaon,banquet halls,5.0,0,650.0,2,200,300,pune,3
"elysium banquets, shivajinagar",banquet halls,5.0,0,500.0,21,100,300,pune,2
"china grill banquets, viman nagar",banquet halls,5.0,1,600.0,21,150,350,pune,2
"babar banquet hall, kondhwa","banquet halls, marriage garden / lawns",5.0,2,400.0,21,1000,1500,pune,2
prakriti banquet hall,banquet halls,5.0,0,350.0,21,120,150,lucknow,2
sanskrit celebrations,"banquet halls, marriage garden / lawns",5.0,0,1000.0,20,60,100,lucknow,3
bakshi palace,"banquet halls, convention / function halls",5.0,1,65000.0,21,400,600,lucknow,3
classic banquets - kunti kanhaiya kuteer,"banquet halls, 3 star hotels with banquets",5.0,0,999.0,30,250,300,lucknow,3
aryan guest house,"banquet halls, marriage garden / lawns",4.5,2,600.0,21,120,300,lucknow,2
parijat guest house,"banquet halls, small function / party halls",5.0,0,950.0,12,100,400,lucknow,3
the blue park resort,"marriage garden / lawns, 3 star hotels with banquets",5.0,0,750.0,15,350,600,lucknow,3
four-n lawn,marriage garden / lawns,5.0,0,300.0,21,600,1000,lucknow,2
hotel royal presidency inn,"3 star hotels with banquets, venues with rooms",5.0,0,499.0,16,20,40,lucknow,3
new saubhagya lawn,marriage garden / lawns,5.0,0,700.0,21,450,700,lucknow,2
raghwendra marriage hall,"banquet halls, convention / function halls",5.0,0,300.0,21,600,1000,lucknow,2
the lodge b&b,small function / party halls,5.0,9,700.0,21,70,110,jaipur,2
v sarovar portico mi road jaipur,"4 star & above wedding hotels, banquet halls",5.0,1,1500.0,21,200,500,jaipur,2
country inn & suites,banquet halls,5.0,1,950.0,21,750,750,jaipur,2
joypur bansi resort,marriage garden / lawns,5.0,4,600.0,21,1750,2500,jaipur,2
achrol bagh,"banquet halls, marriage garden / lawns",5.0,1,1800.0,75,60,200,jaipur,4
riders resort,"banquet halls, marriage garden / lawns",5.0,9,450.0,20,40,200,jaipur,3
fort - kitchen and banquet,banquet halls,5.0,1,1300.0,21,200,300,jaipur,2
yanela - the connaught house jaipur,"banquet halls, venues with rooms",5.0,0,850.0,8,150,200,jaipur,3
heritage khandwa haveli,"banquet halls, marriage garden / lawns",5.0,1,1000.0,8,120,350,jaipur,3
shree rooplaxmi castles hotel and garden,"marriage garden / lawns, 3 star hotels with banquets",5.0,0,900000.0,43,300,2500,jaipur,4
hotel royal bagh - opposite city park jaipur,"banquet halls, marriage garden / lawns",5.0,0,1000.0,25,150,250,jaipur,3
ashok paradise,"banquet halls, marriage garden / lawns",5.0,0,500.0,2,500,1200,jaipur,3
heaven's garden,"banquet halls, marriage garden / lawns",5.0,1,1300.0,21,200,500,jaipur,2
rosado luxury lounge,"banquet halls, marriage garden / lawns",5.0,2,1099.0,15,300,550,jaipur,4
hans paradise,"banquet halls, marriage garden / lawns",5.0,1,550.0,21,150,1500,jaipur,2
aāngan,marriage garden / lawns,4.8,2,750.0,21,100,150,jaipur,2
laxmi palace,"banquet halls, forts / palaces for wedding",4.9,14,1700.0,21,200,500,jaipur,1
radha krishna marriage garden,"banquet halls, marriage garden / lawns",5.0,1,60000.0,21,350,800,jaipur,3
the lalit new delhi,"4 star & above wedding hotels, banquet halls",5.0,22,3200.0,21,200,500,ncr,2
the hari castle,"banquet halls, marriage garden / lawns",5.0,1,1000.0,2,1750,2000,ncr,4
sk kumar palace banquet,"banquet halls, convention / function halls",5.0,2,1200.0,21,350,700,ncr,2
oyo townhouse 012 kaushambi metro ghaziabad,"banquet halls, 3 star hotels with banquets",5.0,1,459.0,30,150,200,ncr,3
vaabi saabi hotel,"banquet halls, 3 star hotels with banquets",5.0,5,800.0,32,200,350,ncr,3
hotel haris mg road gurugram,"banquet halls, 3 star hotels with banquets",4.7,3,1000.0,43,100,150,ncr,3
moti mahal delux,"small function / party halls, small function / party halls",5.0,2,650.0,21,60,90,ncr,2
"ambassador, new delhi - ihcl seleqtions","4 star & above wedding hotels, destination wedding venues",4.5,1,2200.0,88,25,450,ncr,3
 andaz delhi by hyatt,"4 star & above wedding hotels, banquet halls",4.6,7,4500.0,401,100,1200,ncr,3
jannat valley surajkund,marriage garden / lawns,5.0,5,1400.0,21,1400,1500,ncr,2
emerald greens,"banquet halls, venues with rooms",5.0,2,2200.0,2,700,1000,ncr,3
westend inn,"banquet halls, marriage garden / lawns",5.0,18,2200.0,115,50,700,ncr,4
throttle shrottle,"party restaurants / lounge bars, small function / party halls",5.0,1,550.0,21,50,80,ncr,2
the habitat club,"banquet halls, marriage garden / lawns",4.5,1,1000.0,21,150,800,ncr,2
yidam,"banquet halls, convention / function halls",4.9,21,2800.0,125,100,1000,ncr,3
the crystal palace,"banquet halls, 3 star hotels with banquets",5.0,3,849.0,22,420,700,ncr,3
tgp kalyana mandapam,"banquet halls, venues with rooms",5.0,1,300.0,8,400,600,chennai,3
ramada chennai egmore,banquet halls,5.0,1,800.0,21,800,1000,chennai,2
jksp mini hall,"banquet halls, 3 star hotels with banquets",5.0,0,600.0,25,180,300,chennai,3
angel marriage hall,banquet halls,5.0,0,350.0,21,240,400,chennai,2
os mahal,"banquet halls, venues with rooms",5.0,0,300.0,4,420,700,chennai,3
vkc cultural centre,"banquet halls, kalyana mandapams",5.0,1,250.0,21,250,400,chennai,2
j.m.a hall,banquet halls,5.0,0,400.0,2,500,750,chennai,3
atlantis,banquet halls,5.0,0,250.0,21,350,500,chennai,2
the soorya residency (formerly as pratap plaza),"banquet halls, 3 star hotels with banquets",4.5,1,500.0,30,150,250,chennai,3
madras halai memon association community centre,banquet halls,5.0,0,92000.0,2,400,550,chennai,4
the black pearl,"party restaurants / lounge bars, small function / party halls",5.0,0,90.0,21,50,75,chennai,2
av party hall,banquet halls,5.0,1,300.0,21,200,500,chennai,1
jk mahal & palace,banquet halls,5.0,1,300.0,21,300,450,chennai,2
betel leaf party hall,small function / party halls,5.0,1,450.0,21,100,150,chennai,2
the ramachandra convention center,banquet halls,5.0,1,400.0,21,200,500,chennai,2
m.k.s grand palace,banquet halls,5.0,1,140000.0,9,200,600,chennai,4
dudhane lawns,marriage garden / lawns,4.5,1,220.0,21,1000,1500,pune,2
nanashree lawns,marriage garden / lawns,5.0,0,400.0,21,1400,2000,pune,2
hotel tiptop international,"banquet halls, 3 star hotels with banquets",5.0,6,1500.0,200,2000,2500,pune,3
enrise by sayaji,"banquet halls, marriage garden / lawns",5.0,0,1200.0,32,50,200,pune,3
aashiyana hall,"banquet halls, convention / function halls",5.0,0,400.0,21,400,600,pune,2
"holiday inn, hinjewadi","banquet halls, marriage garden / lawns",5.0,1,1000.0,21,1000,1200,pune,2
choice conference hall,banquet halls,5.0,0,60000.0,21,150,180,pune,3
hotel saudagar,"banquet halls, 3 star hotels with banquets",5.0,0,350.0,10,150,220,pune,3
rajlaxmi garden mangal karyalaya,marriage garden / lawns,5.0,0,500.0,21,700,1000,pune,2
rhythm lonavala,"banquet halls, wedding resorts",5.0,8,1500.0,84,40,800,pune,3
jijau mangal karyalay,"banquet halls, marriage garden / lawns",5.0,0,300.0,21,1000,3000,pune,2
encore resort,"marriage garden / lawns, 3 star hotels with banquets",5.0,0,1500.0,13,200,300,pune,3
kodre farm,marriage garden / lawns,5.0,1,450.0,21,700,1000,pune,2
"hotel shreyas, shivajinagar","banquet halls, 3 star hotels with banquets",5.0,2,400.0,48,50,400,pune,3
mj grand,marriage garden / lawns,5.0,0,400.0,21,600,1000,lucknow,2
krishna marriage lawn and guest house,marriage garden / lawns,5.0,0,700.0,21,800,1200,lucknow,2
baba marriage hall,"banquet halls, marriage garden / lawns",5.0,0,500.0,21,200,500,lucknow,2
saubhagya marriage hall,"banquet halls, marriage garden / lawns",5.0,0,450.0,21,300,600,lucknow,3
the city club lucknow,"banquet halls, marriage garden / lawns",5.0,0,900.0,1,100,500,lucknow,4
lucknow lawn,marriage garden / lawns,5.0,0,300.0,21,800,1000,lucknow,2
al kabeer lawn,"banquet halls, marriage garden / lawns",5.0,0,890.0,21,350,1300,lucknow,2
colonel farm,"marriage garden / lawns, wedding farmhouses",5.0,0,700.0,4,150,200,lucknow,3
pjais fine dine restro,small function / party halls,5.0,0,650.0,21,90,150,lucknow,2
tayyab hall,"banquet halls, marriage garden / lawns",5.0,0,45000.0,21,350,500,lucknow,2
sapna clarks inn,"banquet halls, marriage garden / lawns",5.0,2,2400.0,32,200,300,lucknow,3
mandap mahal guest house,marriage garden / lawns,5.0,0,500.0,21,650,1000,lucknow,2
the ecstasy,"banquet halls, 3 star hotels with banquets",5.0,0,1000.0,21,500,700,lucknow,3
shahnai palace marriage hall,"banquet halls, convention / function halls",5.0,0,35000.0,2,400,700,lucknow,4
jj valley hotel,"banquet halls, marriage garden / lawns",5.0,3,369000.0,26,80,1500,jaipur,4
rani bagh resort,"banquet halls, marriage garden / lawns",5.0,1,100000.0,21,50,1500,jaipur,3
hotel royal celebration inn,"banquet halls, marriage garden / lawns",5.0,1,500.0,27,1000,1500,jaipur,2
om niwas suite hotel,"banquet halls, 3 star hotels with banquets",5.0,1,175.0,27,70,120,jaipur,3
wild ridge sariska resort,"marriage garden / lawns, 3 star hotels with banquets",5.0,0,80000.0,14,900,1000,jaipur,4
the gulmohar,"banquet halls, convention / function halls",5.0,2,800000.0,21,200,500,jaipur,2
hotel jaipur ashok,"banquet halls, marriage garden / lawns",4.5,2,1000.0,97,600,1000,jaipur,2
"v one pride, a unit of v one hotels pvt ltd","banquet halls, marriage garden / lawns",5.0,1,400.0,28,300,800,jaipur,3
mor banquet and resort,"banquet halls, marriage garden / lawns",5.0,1,600.0,21,1320,2000,jaipur,1
hotel royal ocean prime,"banquet halls, marriage garden / lawns",5.0,0,600.0,32,100,750,jaipur,4
villa anoushka,"banquet halls, marriage garden / lawns",5.0,0,1600.0,35,250,1000,jaipur,3
green palms wedding resorts,"banquet halls, marriage garden / lawns",4.8,2,600.0,38,200,3000,jaipur,3
hotel amar palace,"banquet halls, marriage garden / lawns",5.0,1,750.0,35,320,700,jaipur,3
the park classic,"banquet halls, 3 star hotels with banquets",5.0,0,450.0,50,10,200,jaipur,3
castle mandawa,"banquet halls, marriage garden / lawns",5.0,3,1500.0,80,60,800,jaipur,3
radhika palace,marriage garden / lawns,5.0,1,175000.0,21,200,500,jaipur,2
ibis new delhi aerocity,"4 star & above wedding hotels, banquet halls",5.0,1,2500.0,445,30,250,ncr,3
evora - banquet & hotel,"banquet halls, 3 star hotels with banquets",5.0,1,1000.0,15,70,500,ncr,3
moets residency,"marriage garden / lawns, 3 star hotels with banquets",5.0,1,900.0,34,500,700,ncr,3
wedding villa,"banquet halls, small function / party halls",4.7,19,3000.0,15,50,1200,ncr,3
delhi gymkhana club,"banquet halls, marriage garden / lawns",5.0,4,1800.0,43,200,600,ncr,5
regal garden,"banquet halls, marriage garden / lawns",5.0,4,1000.0,1,500,700,ncr,4
delight garden,"banquet halls, marriage garden / lawns",5.0,1,600.0,21,100,450,ncr,3
vardaan by sandoz,"banquet halls, marriage garden / lawns",5.0,8,2000.0,21,110,550,ncr,3
the roseate,"4 star & above wedding hotels, 3 star hotels with banquets",5.0,21,3000.0,21,200,500,ncr,3
hotel picasso prive,"3 star hotels with banquets, small function / party halls",5.0,2,900.0,21,60,120,ncr,3
vasundhara farms,"banquet halls, marriage garden / lawns",5.0,1,900.0,21,150,450,ncr,2
7 star banquet hall,"banquet halls, convention / function halls",5.0,1,650.0,21,650,800,ncr,2
le meridien gurgaon,"4 star & above wedding hotels, banquet halls",4.7,21,4500.0,285,80,3000,ncr,4
la mansion banquets,"banquet halls, convention / function halls",4.5,18,1800.0,21,150,550,ncr,1
s.courtyard,"banquet halls, party restaurants / lounge bars",4.9,18,2000.0,4,1000,1200,ncr,6
seven seas banquet and lawn - lawrence road,"banquet halls, marriage garden / lawns",4.6,18,1750.0,21,100,2500,ncr,2
blessing the party lawn,marriage garden / lawns,5.0,1,650.0,21,1000,1500,ncr,2
ganeshi lal memorial trust,banquet halls,5.0,1,600.0,21,150,250,ncr,2
drool buzz,"banquet halls, small function / party halls",5.0,1,1200.0,21,100,150,ncr,2
banana tree hotel and banquets,"banquet halls, 3 star hotels with banquets",5.0,5,900.0,25,700,900,ncr,4
the raintree annasalai,"4 star & above wedding hotels, banquet halls",5.0,5,1200.0,230,1200,1200,chennai,3
sri vaijayanti mahal a/c,banquet halls,5.0,0,100000.0,8,350,700,chennai,4
tamara party hall,banquet halls,5.0,1,300.0,21,120,200,chennai,2
kanchi mahaswamy anantha mandapam,banquet halls,5.0,1,500.0,21,600,900,chennai,2
twisty tails,banquet halls,5.0,0,500.0,21,75,120,chennai,2
u s party hall,"banquet halls, small function / party halls",5.0,1,200.0,21,80,150,chennai,2
shelter beach resort,"banquet halls, marriage garden / lawns",5.0,1,1450.0,38,75,800,chennai,3
rutland gate terraces,banquet halls,5.0,4,400.0,21,300,450,chennai,2
new woodlands hotel,"banquet halls, marriage garden / lawns",4.5,4,400.0,140,400,1200,chennai,3
sri krishna mahal,banquet halls,5.0,0,700.0,21,250,400,chennai,2
n m marriage hall,"banquet halls, kalyana mandapams",5.0,1,45000.0,21,150,180,chennai,3
raj park,banquet halls,5.0,6,1000.0,21,550,650,chennai,2
aqua green hotel,"banquet halls, 3 star hotels with banquets",5.0,1,375.0,15,100,2000,chennai,3
sri thillai mahal,banquet halls,5.0,0,400.0,21,500,600,chennai,2
park hyatt chennai,"4 star & above wedding hotels, banquet halls",5.0,1,1500.0,200,1500,1500,chennai,3
aj gardens,"marriage garden / lawns, 3 star hotels with banquets",5.0,6,400.0,11,105,2000,chennai,2
sri ratna mini hall,small function / party halls,5.0,1,200.0,21,60,100,chennai,2
atharva banquets,"banquet halls, convention / function halls",5.0,1,435.0,3,500,600,pune,3
"dadasaheb darode hall, shivajinagar","banquet halls, convention / function halls",5.0,0,400.0,21,500,700,pune,2
flyhigh,banquet halls,5.0,0,600.0,21,150,250,pune,2
vijay shree lawns,"banquet halls, marriage garden / lawns",5.0,0,450.0,21,200,400,pune,2
"mulik palace, koregaon park","banquet halls, marriage garden / lawns",5.0,0,400.0,21,400,3700,pune,2
hotel sagar inn,"banquet halls, 3 star hotels with banquets",5.0,0,1299.0,45,80,120,pune,3
ramkrishna mangal karyalaya,"banquet halls, convention / function halls",5.0,1,400.0,21,700,1000,pune,2
shree swamisneh dining hall,"banquet halls, small function / party halls",5.0,0,290.0,21,50,80,pune,2
dwarka garden mangal karyalaya,marriage garden / lawns,5.0,0,600.0,21,500,800,pune,2
republic lawn,"banquet halls, marriage garden / lawns",5.0,0,650.0,21,200,500,pune,1
hotel phoenix,"marriage garden / lawns, 3 star hotels with banquets",5.0,0,500.0,25,150,240,pune,3
w banquet hall,banquet halls,5.0,0,450.0,21,250,400,pune,2
celebrations inn pune,"banquet halls, 3 star hotels with banquets",5.0,0,800.0,11,180,300,pune,3
parvati hall,"banquet halls, convention / function halls",5.0,0,300.0,21,400,600,pune,2
"harmony marriage lawns, lonavala","marriage garden / lawns, destination wedding venues",5.0,0,600.0,50,500,750,pune,3
madhuban guest house,banquet halls,5.0,0,500.0,21,200,500,lucknow,1
the jp,"banquet halls, marriage garden / lawns",5.0,5,800.0,8,300,450,lucknow,3
maple delite,"banquet halls, marriage garden / lawns",5.0,9,950.0,40,200,750,lucknow,3
radha krishna mandap,"marriage garden / lawns, wedding farmhouses",5.0,0,400.0,4,150,250,lucknow,2
v r s lawn,"banquet halls, marriage garden / lawns",5.0,0,600.0,21,50,500,lucknow,2
emerald greens,marriage garden / lawns,5.0,0,500.0,21,650,1000,lucknow,2
shri ram janki marraige lawn,marriage garden / lawns,5.0,0,400.0,21,500,700,lucknow,2
ayana lawns and resort,marriage garden / lawns,5.0,0,700.0,21,500,700,lucknow,2
brahmdeep resorts,"banquet halls, marriage garden / lawns",5.0,0,300.0,13,80,500,lucknow,3
avadh palace,marriage garden / lawns,5.0,0,700.0,21,700,1000,lucknow,2
shri shri nath ji marriage lawns,marriage garden / lawns,5.0,0,500.0,21,500,1200,lucknow,2
chef bite,banquet halls,5.0,0,400.0,21,120,200,lucknow,2
dd hotel,"banquet halls, 3 star hotels with banquets",5.0,0,800.0,28,70,100,lucknow,3
spring garden ,"marriage garden / lawns, venues with rooms",5.0,0,800.0,4,100,1100,lucknow,4
club regal and resort,"banquet halls, marriage garden / lawns",5.0,0,1750.0,21,400,1000,lucknow,2
regal palace,"banquet halls, marriage garden / lawns",5.0,0,900.0,13,250,350,lucknow,3
r.r lawn,marriage garden / lawns,5.0,1,50000.0,21,400,600,lucknow,3
awadh castle,"banquet halls, marriage garden / lawns",5.0,1,1000.0,11,100,1500,lucknow,3
shree bagh,marriage garden / lawns,5.0,0,700.0,21,900,1500,jaipur,2
umaid mahal,"4 star & above wedding hotels, banquet halls",5.0,1,3000.0,30,100,250,jaipur,3
chandhari marriage gardern,marriage garden / lawns,5.0,0,25000.0,21,600,800,jaipur,3
the south aqua park,"banquet halls, marriage garden / lawns",5.0,0,800.0,21,100,200,jaipur,2
the rajwada resort and spa,"banquet halls, marriage garden / lawns",5.0,1,1500.0,23,800,1500,jaipur,3
peppermint hotel,"banquet halls, 3 star hotels with banquets",4.5,4,850.0,21,200,500,jaipur,2
royal haveli,"banquet halls, marriage garden / lawns",5.0,1,900.0,21,650,1500,jaipur,2
om marriage garden,"banquet halls, marriage garden / lawns",5.0,0,400.0,21,100,1000,jaipur,2
gitanjali,"3 star hotels with banquets, small function / party halls",5.0,0,300.0,12,90,1300,jaipur,3
novotel jaipur convention centre,"4 star & above wedding hotels, banquet halls",5.0,1,2500.0,226,1000,2000,jaipur,4
souvenir premier,"4 star & above wedding hotels, banquet halls",5.0,2,850.0,21,200,500,jaipur,2
rangoli marriage garden,"banquet halls, marriage garden / lawns",5.0,0,700.0,8,250,2000,jaipur,3
mohan vatika marriage garden,marriage garden / lawns,5.0,0,350.0,21,1250,2000,jaipur,2
radisson hotel jaipur city center,"4 star & above wedding hotels, banquet halls",5.0,14,2100.0,135,30,450,jaipur,4
hotel clarks heights,"3 star hotels with banquets, venues with rooms",5.0,2,850.0,35,850,950,ncr,3
seven seas hotel,"4 star & above wedding hotels, banquet halls",5.0,38,3000.0,90,20,1275,ncr,3
la stella banquet,"banquet halls, convention / function halls",4.5,9,1350.0,21,1300,1500,ncr,2
grandeur by lavanya,"banquet halls, convention / function halls",5.0,24,1800.0,21,200,700,ncr,2
sat saheb garden,"banquet halls, marriage garden / lawns",5.0,1,500.0,21,200,800,ncr,2
the dwelling inn,"banquet halls, 3 star hotels with banquets",5.0,3,1200.0,30,30,225,ncr,3
a square banquet party hall,banquet halls,5.0,1,550.0,21,125,250,ncr,2
wedding villa,"banquet halls, convention / function halls",4.7,3,1600.0,21,300,600,ncr,2
enkay residency,"banquet halls, 3 star hotels with banquets",5.0,1,1450.0,26,75,100,ncr,3
the moments,"banquet halls, marriage garden / lawns",5.0,1,650.0,35,30,900,ncr,3
noida dreamz,"banquet halls, marriage garden / lawns",5.0,1,850.0,30,50,150,ncr,3
flavours from heaven,banquet halls,5.0,1,600.0,21,200,300,ncr,2
exotic garden,marriage garden / lawns,5.0,1,1500.0,21,300,1000,ncr,2
hotel samrat kaushambi,"banquet halls, 3 star hotels with banquets",5.0,1,650.0,21,50,110,ncr,3
hotel west view,"banquet halls, 3 star hotels with banquets",5.0,2,1500.0,25,350,400,ncr,4
eternity hotel,"3 star hotels with banquets, small function / party halls",5.0,1,1300.0,16,45,120,ncr,3
the imperial banquet,banquet halls,5.0,1,800.0,21,300,500,ncr,2
pavilion by ferns n petals,"banquet halls, marriage garden / lawns",5.0,12,1500.0,21,1500,1700,ncr,2
inaayat farm,"marriage garden / lawns, wedding farmhouses",5.0,4,1000.0,4,60,150,ncr,3
hotel aadithya by tgi,"banquet halls, 3 star hotels with banquets",5.0,0,800.0,48,250,400,chennai,3
blue lagoon wedding complex,"banquet halls, marriage garden / lawns",5.0,1,500.0,30,1000,4000,chennai,4
sri meenakshi mahal,banquet halls,5.0,0,300.0,21,600,900,chennai,2
mohanavasuki party hall,banquet halls,5.0,0,400.0,21,200,300,chennai,3
aiswarya thirumana mahal,banquet halls,5.0,0,400.0,21,450,750,chennai,2
heritage beach lawn,"banquet halls, marriage garden / lawns",5.0,1,1500.0,2,500,1200,chennai,4
sri balaji mini hall,banquet halls,5.0,0,600.0,21,200,300,chennai,2
square space mogappair,banquet halls,5.0,0,350.0,21,150,250,chennai,2
sps thirumana mandapam,banquet halls,5.0,1,400.0,21,500,800,chennai,2
maharaja kalyana mandapam,"banquet halls, kalyana mandapams",5.0,0,350.0,21,600,1000,chennai,3
sri palani marriage hall,banquet halls,5.0,0,300.0,21,140,250,chennai,2
laxmi garden,"marriage garden / lawns, small function / party halls",4.7,3,275.0,3,80,100,chennai,3
hotel milestonnez,"banquet halls, marriage garden / lawns",5.0,1,250.0,60,70,500,chennai,3
chennai convention centre,banquet halls,5.0,2,45000.0,21,150,650,chennai,3
hpm paradise,"banquet halls, kalyana mandapams",5.0,1,500.0,21,2000,3000,chennai,2
